GAME_ID,team,against,s_minutes,s_FGM,s_FGA,s_3PM,s_3PA,s_FTM,s_FTA,s_OREB,s_DREB,s_AST,s_STL,s_BLK,s_TO,s_FOUL,b_FGM,b_FGA,b_3PM,b_3PA,b_FTM,b_FTA,b_OREB,b_DREB,b_AST,b_STL,b_BLK,b_TO,b_FOUL,home,PTS_ht,PTS_ht_opp
42300137,CLE,ORL,181.77,27,63,6,20,23,27,7,27,12,6,6,12,20,7,14,2,4,7,9,3,11,7,2,2,2,3,1,106,94
42300137,ORL,CLE,176.98,20,70,9,28,24,28,13,27,14,9,2,12,21,9,16,1,3,2,2,5,4,3,2,2,5,11,0,94,106
