GAME_ID,team,against,s_minutes,s_FGM,s_FGA,s_3PM,s_3PA,s_FTM,s_FTA,s_OREB,s_DREB,s_AST,s_STL,s_BLK,s_TO,s_FOUL,b_FGM,b_FGA,b_3PM,b_3PA,b_FTM,b_FTA,b_OREB,b_DREB,b_AST,b_STL,b_BLK,b_TO,b_FOUL,home,PTS_ht,PTS_ht_opp
42300232,DEN,MIN,92.96,12,33,2,9,3,4,7,12,9,1,2,8,8,2,10,2,5,0,0,1,4,0,0,1,1,0,1,35,61
42300232,MIN,DEN,84.59,17,32,2,8,6,8,5,9,15,6,3,2,5,7,12,5,9,0,0,0,8,1,1,5,1,1,0,61,35
