GAME_ID,team,against,s_minutes,s_FGM,s_FGA,s_3PM,s_3PA,s_FTM,s_FTA,s_OREB,s_DREB,s_AST,s_STL,s_BLK,s_TO,s_FOUL,b_FGM,b_FGA,b_3PM,b_3PA,b_FTM,b_FTA,b_OREB,b_DREB,b_AST,b_STL,b_BLK,b_TO,b_FOUL,home_away,PTS_ht,PTS_ht_opp,PTS_final
22300390,CHA,DEN,75.05,17,29,1,7,5,5,5,12,15,2,6,6,4,7,13,1,3,5,5,0,2,1,2,2,3,3,home,60,54,95
22300391,IND,ORL,70.41666666666667,16,30,5,13,5,6,1,9,11,3,1,3,8,6,15,4,9,1,3,3,4,3,0,0,4,11,home,59,73,110
22300391,ORL,IND,76.05,17,26,1,3,17,19,3,12,9,2,0,3,5,7,13,2,6,5,8,2,5,8,3,3,1,4,away,73,59,117
22300392,NOP,HOU,78.15,14,29,2,9,7,10,2,14,11,1,1,6,3,6,11,1,4,1,1,2,8,2,2,1,1,4,home,51,47,104
22300392,HOU,NOP,83.38333333333334,14,34,3,12,9,12,3,14,9,2,0,5,4,3,11,0,4,1,1,4,3,1,2,0,0,4,away,47,51,106
22300393,ATL,MEM,79.46666666666667,15,34,3,14,9,10,5,12,10,6,2,4,6,8,18,2,9,0,0,4,4,3,2,0,0,5,home,60,50,119
22300393,MEM,ATL,78.91666666666667,16,30,2,11,4,6,6,12,8,2,0,8,6,5,16,1,6,1,3,3,5,4,1,4,1,2,away,50,60,125
22300394,DET,BKN,78.76666666666667,12,25,5,13,11,14,2,10,11,3,2,4,8,6,13,3,6,1,1,1,3,2,1,0,4,3,away,56,65,115
22300394,BKN,DET,73.7,16,30,3,9,11,13,2,8,14,4,1,5,8,8,14,3,6,0,0,1,7,4,2,0,1,5,home,65,56,126
22300395,TOR,UTA,79.36666666666666,21,39,6,11,3,4,7,11,16,4,3,4,6,7,13,3,8,3,3,2,3,7,1,2,0,4,home,71,55,119
22300395,UTA,TOR,77.25,13,29,4,10,5,6,2,10,15,2,1,2,3,8,15,4,8,0,0,1,3,2,0,1,5,2,away,55,71,126
22300396,CLE,CHI,86.98333333333333,14,33,5,20,11,15,7,11,15,2,2,4,3,5,12,3,7,0,0,1,4,0,0,1,2,5,away,57,56,109
22300396,CHI,CLE,84.6,16,30,3,10,8,8,0,11,14,3,2,3,7,5,12,1,6,2,2,2,6,1,1,1,2,5,home,56,57,95
22300397,LAL,OKC,80.21666666666667,14,26,3,8,8,10,4,13,14,3,4,3,3,13,19,4,8,2,3,0,6,8,1,0,2,3,away,71,59,129
22300397,OKC,LAL,75.68333333333334,19,35,4,12,5,7,2,6,7,2,2,2,6,4,13,4,9,0,0,2,5,6,1,1,2,3,home,59,71,120
22300398,SAS,DAL,70.73333333333333,17,28,6,11,4,4,1,10,11,2,1,2,4,8,21,4,12,2,6,3,5,8,1,0,2,4,away,66,72,119
22300398,DAL,SAS,87.38333333333334,20,43,7,16,7,8,4,13,10,0,3,4,5,7,10,2,3,2,2,3,7,1,3,1,1,3,home,72,66,144
22300399,POR,GSW,86.3,15,35,5,13,4,6,1,6,12,7,2,3,3,2,8,1,6,2,2,2,2,2,3,0,3,5,away,46,57,106
