GAME_ID,home_team,away_team,hs_minutes,hs_FGM,hs_FGA,hs_3PM,hs_3PA,hs_FTM,hs_FTA,hs_OREB,hs_DREB,hs_AST,hs_STL,hs_BLK,hs_TO,hs_FOUL,ht_minutes,ht_FGM,ht_FGA,ht_3PM,ht_3PA,ht_FTM,ht_FTA,ht_OREB,ht_DREB,ht_AST,ht_STL,ht_BLK,ht_TO,ht_FOUL,as_minutes,as_FGM,as_FGA,as_3PM,as_3PA,as_FTM,as_FTA,as_OREB,as_DREB,as_AST,as_STL,as_BLK,as_TO,as_FOUL,at_minutes,at_FGM,at_FGA,at_3PM,at_3PA,at_FTM,at_FTA,at_OREB,at_DREB,at_AST,at_STL,at_BLK,at_TO,at_FOUL
22301073,SAC,DAL,93:54:00,22,43,8,15,2,4,4,17,13,5,1,2,7,120:00:00,25,53,8,17,2,5,6,20,13,5,1,2,9,71:36:00,13,29,4,13,7,11,0,12,8,1,3,6,3,120:00:00,18,38,5,17,10,15,3,20,13,1,4,6,6
22301064,ORL,LAC,78:18:00,10,23,1,6,5,5,4,8,6,3,4,8,4,120:00:00,19,40,7,14,5,5,5,12,10,4,6,9,7,80:59:00,13,30,2,6,4,5,4,12,8,5,2,4,4,120:00:00,22,44,3,8,5,7,6,14,12,7,2,7,8
22301072,UTA,HOU,88:30:00,14,39,3,16,9,9,4,13,9,2,2,6,7,120:00:00,17,47,4,20,9,9,6,26,9,2,4,9,7,89:50:00,14,41,5,18,5,7,7,14,9,5,4,5,7,120:00:00,15,48,5,22,6,9,7,22,9,5,5,7,10
22301061,NOP,MIL,88:28:00,21,42,4,14,9,11,4,17,12,6,4,4,5,120:00:00,23,51,4,17,11,14,7,20,13,8,4,4,8,83:08:00,15,34,6,15,1,3,2,13,9,1,2,7,7,120:00:00,18,45,8,21,1,3,4,19,11,1,2,9,11
22301060,ATL,BOS,84:53:00,22,44,4,13,0,0,9,16,8,2,1,6,4,120:00:00,27,52,5,17,0,1,9,18,12,3,2,8,6,87:09:00,20,38,6,14,7,8,3,12,9,3,1,5,4,120:00:00,23,46,6,18,11,12,3,15,13,5,1,6,5
22301060,ATL,BOS,84:53:00,22,44,4,13,0,0,9,16,8,2,1,6,4,120:00:00,27,52,5,17,0,1,9,18,12,3,2,8,6,87:09:00,20,38,6,14,7,8,3,12,9,3,1,5,4,120:00:00,23,46,6,18,11,12,3,15,13,5,1,6,5
22301061,NOP,MIL,88:28:00,21,42,4,14,9,11,4,17,12,6,4,4,5,120:00:00,23,51,4,17,11,14,7,20,13,8,4,4,8,83:08:00,15,34,6,15,1,3,2,13,9,1,2,7,7,120:00:00,18,45,8,21,1,3,4,19,11,1,2,9,11
22301057,OKC,HOU,65:16:00,7,25,1,11,8,10,4,11,6,1,3,7,6,120:00:00,16,41,7,21,11,15,6,20,12,2,4,10,7,81:57:00,16,34,3,12,2,2,2,14,9,3,1,6,9,120:00:00,21,47,5,17,2,2,5,20,11,6,1,9,14
22301056,MIN,DET,81:15:00,17,34,4,16,2,2,3,14,10,2,1,4,5,120:00:00,19,41,5,20,4,6,3,19,13,3,1,6,5,75:03:00,11,26,4,10,4,8,2,11,8,1,1,3,4,120:00:00,17,41,6,16,5,10,2,19,10,3,1,4,4
22301048,CHA,CLE,77:22:00,20,32,5,11,3,3,3,7,12,5,0,6,7,120:00:00,27,45,8,19,7,7,3,12,17,7,1,7,9,75:42:00,16,29,6,12,5,6,3,11,10,4,0,7,4,120:00:00,25,42,13,21,7,11,3,13,19,5,1,9,9
22301052,PHI,LAC,86:39:00,14,31,3,11,9,9,3,20,4,1,3,8,5,120:00:00,18,43,4,17,10,11,8,25,5,1,6,8,6,81:09:00,13,33,5,13,2,4,3,13,10,4,2,4,7,120:00:00,18,46,7,19,3,6,4,17,13,5,2,4,9
22301051,ATL,POR,82:16:00,16,32,6,16,4,4,3,10,8,8,3,7,3,120:00:00,22,43,10,21,11,12,4,18,13,10,4,10,8,80:40:00,13,25,4,8,3,3,2,11,13,3,0,7,7,120:00:00,23,45,8,15,4,6,3,13,20,6,1,11,9
22301049,ORL,GSW,75:43:00,9,33,0,9,4,9,5,11,3,4,1,4,4,120:00:00,14,46,4,16,5,11,8,17,9,5,4,5,6,69:39:00,10,30,2,11,2,2,2,12,9,0,0,5,5,120:00:00,19,47,2,16,5,5,5,25,14,3,1,5,9
22301058,UTA,SAS,81:57:00,15,31,5,10,4,4,0,8,8,5,1,7,2,120:00:00,18,41,6,14,6,8,2,14,11,5,2,12,4,80:40:00,18,37,7,15,0,0,6,13,11,4,3,12,5,120:00:00,23,46,10,18,3,4,6,19,21,5,3,15,9
