GAME_ID,home_team,away_team,hs_minutes,hs_FGM,hs_FGA,hs_3PM,hs_3PA,hs_FTM,hs_FTA,hs_OREB,hs_DREB,hs_AST,hs_STL,hs_BLK,hs_TO,hs_FOUL,ht_minutes,ht_FGM,ht_FGA,ht_3PM,ht_3PA,ht_FTM,ht_FTA,ht_OREB,ht_DREB,ht_AST,ht_STL,ht_BLK,ht_TO,ht_FOUL,as_minutes,as_FGM,as_FGA,as_3PM,as_3PA,as_FTM,as_FTA,as_OREB,as_DREB,as_AST,as_STL,as_BLK,as_TO,as_FOUL,at_minutes,at_FGM,at_FGA,at_3PM,at_3PA,at_FTM,at_FTA,at_OREB,at_DREB,at_AST,at_STL,at_BLK,at_TO,at_FOUL
22300963,TOR,ORL,78:02:00,10,25,4,10,8,11,3,11,8,3,1,4,8,120:00:00,15,38,7,17,11,14,3,18,11,6,3,8,11,78:00:00,12,28,3,11,6,8,2,12,7,4,0,5,8,120:00:00,18,40,6,17,8,10,2,20,9,4,1,8,11
22300964,NOP,LAC,78:01:00,12,32,2,9,8,10,4,13,9,1,1,6,5,120:00:00,17,43,6,18,10,12,6,18,12,2,1,6,9,81:26:00,16,32,3,11,4,4,2,14,2,3,3,3,5,120:00:00,18,40,4,16,4,4,2,19,4,4,5,5,9
22300965,SAS,DEN,81:58:00,12,27,6,13,6,8,3,6,10,4,3,4,3,120:00:00,17,41,6,17,9,12,6,16,11,4,3,7,5,80:46:00,16,26,2,6,4,5,2,14,11,4,1,6,7,120:00:00,24,44,5,13,5,7,4,19,17,5,2,6,11
22300961,CHA,PHX,76:15:00,11,30,1,12,6,10,4,13,10,2,0,2,5,120:00:00,18,49,2,22,7,11,6,18,14,5,0,3,6,85:13:00,13,31,3,13,5,8,5,17,15,2,0,6,3,120:00:00,21,45,6,20,6,9,6,26,17,2,0,6,9
22300966,UTA,ATL,72:53:00,15,34,3,13,8,10,5,16,6,1,1,3,5,120:00:00,23,50,7,22,8,10,9,20,11,2,3,5,10,73:12:00,14,33,7,15,5,10,4,9,14,1,2,3,4,120:00:00,22,46,11,22,7,12,5,17,19,3,4,3,7
22300966,UTA,ATL,72:53:00,15,34,3,13,8,10,5,16,6,1,1,3,5,120:00:00,23,50,7,22,8,10,9,20,11,2,3,5,10,73:12:00,14,33,7,15,5,10,4,9,14,1,2,3,4,120:00:00,22,46,11,22,7,12,5,17,19,3,4,3,7
22300963,TOR,ORL,78:02:00,10,25,4,10,8,11,3,11,8,3,1,4,8,120:00:00,15,38,7,17,11,14,3,18,11,6,3,8,11,78:00:00,12,28,3,11,6,8,2,12,7,4,0,5,8,120:00:00,18,40,6,17,8,10,2,20,9,4,1,8,11
22300962,DET,MIA,88:47:00,16,31,3,9,10,12,4,18,13,2,1,7,6,120:00:00,19,44,5,19,11,13,5,21,15,5,1,10,9,76:52:00,17,34,3,10,8,12,4,13,4,4,3,3,6,120:00:00,22,48,3,16,9,13,5,18,9,8,3,7,9
22300962,DET,MIA,88:47:00,16,31,3,9,10,12,4,18,13,2,1,7,6,120:00:00,19,44,5,19,11,13,5,21,15,5,1,10,9,76:52:00,17,34,3,10,8,12,4,13,4,4,3,3,6,120:00:00,22,48,3,16,9,13,5,18,9,8,3,7,9
22300964,NOP,LAC,78:01:00,12,32,2,9,8,10,4,13,9,1,1,6,5,120:00:00,17,43,6,18,10,12,6,18,12,2,1,6,9,81:26:00,16,32,3,11,4,4,2,14,2,3,3,3,5,120:00:00,18,40,4,16,4,4,2,19,4,4,5,5,9
