GAME_ID,team,against,s_minutes,s_FGM,s_FGA,s_3PM,s_3PA,s_FTM,s_FTA,s_OREB,s_DREB,s_AST,s_STL,s_BLK,s_TO,s_FOUL,b_FGM,b_FGA,b_3PM,b_3PA,b_FTM,b_FTA,b_OREB,b_DREB,b_AST,b_STL,b_BLK,b_TO,b_FOUL,home,PTS_ht,PTS_ht_opp
42300212,NYK,IND,89.89,21,35,6,11,5,6,4,13,12,2,0,5,3,4,8,0,2,2,2,0,1,1,0,0,0,2,1,63,73
42300212,IND,NYK,78.68,18,35,6,13,3,3,7,9,10,0,1,3,4,10,14,4,6,4,5,1,4,9,2,0,1,2,0,73,63
